website,name,score,reviews,type,duration,comment1,price,group,city
https://www.tripadvisor.com/AttractionProductReview-g187323-d20269028-Private_transfer_from_Berlin_to_Prague_with_Stopover_in_Dresden-Berlin.html,Private transfer from Berlin to Prague with Stopover in Dresden,,,Transportation Services,6 hours,"Transfer service ensures the most comfortable journey from Berlin to Prague. On your way to Prague, our professional english…",$874,per group,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26326600-Private_Photography_Tour_in_Berlin-Berlin.html,Private Photography Tour in Berlin,,,Street Art Tour,1–2 hours,"You will take home the best memories of your trip in a creative photoshoot!

This experience is ideal for everybody! Solo…",$66,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d23948488-Berlin_Off_the_Beaten_Track_Private_Guided_Walking_Tour-Berlin.html,Berlin Off-the-Beaten Track Private Guided Walking Tour,,,City Tours,2–4 hours,Follow your 5-Stars Guide to see the less popular spots which are still worth a visit. Avoid the crowds and relax while …,$150,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d19709677-Berlin_Highlights_Wheelchair_Accessible_Private_Tour_with_a_Vehicle-Berlin.html,Berlin Highlights: Wheelchair-Accessible Private Tour with a Vehicle,,,Historical Tours,3 hours,This private tour with a vehicle is specifically designed for wheelchair users and those with mobility problems. It is the…,$371,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26495690-5_hour_Guided_Bike_Tour_in_Berlin_Deep_Drive-Berlin.html,5-hour Guided Bike Tour in Berlin Deep Drive,,,Historical Tours,3 hours,This tour will take you a little deeper into the history and the stories than regular tours. Be prepared for more insight…,$35,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d21001555-Berlin.html,"ברלין האלטרנטיבית ברגל: גרפיטי, שכונות מעניינות ועוד",,,Street Art Tour,4–5 hours,"סיור אמנות רחוב עם המדריכים הטובים ביותר 

גלו את השכונות המעניינות של ברלין, את יצירות אמנות הרחוב המפורסמות והבינו מה",$22,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d21188328-Berlin_Bike_Cold_War_Tour_Berlin_Wall_Third_Reich_Bunker_Checkpoint_Charlie-Berlin.html,"Berlin Bike Cold War Tour - Berlin Wall, Third Reich, Bunker, Checkpoint Charlie",,,Historical Tours,3–4 hours,There is no better way to explore the German capital than a guided bike tour! Opt for an alternative sightseeing experience…,$89,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d25404564-Private_Guided_Tour_in_Munich_with_Vehicle-Berlin.html,Private Guided Tour in Munich with Vehicle,,,Bus Tours,2–6 hours,"From sites of Nazi significance to beer halls and BMW, see the best of the Bavarian capital's history and contemporary culture…",$461,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26569063-Torstrasse_start_Berlin_Rickshaw_Bikes_and_E_Scooters_public_tour-Berlin.html,Torstrasse start Berlin Rickshaw Bikes and E-Scooters public tour,,,Historical Tours,3 hours,"Explore Berlin intimately with our engaging, practical, and friendly tours. Immerse yourself in the local charm, capturing…",$28,per group,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d25181012-Private_Potsdam_Day_Trip_from_Berlin-Berlin.html,Private Potsdam Day Trip from Berlin,,,Historical Tours,6 hours,"Discover the magical city of Potsdam, with its majestic architecture and beautiful parks and palaces. Wander the gardens…",$658,per group,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d24018885-Professional_cinematic_and_fashion_Photography_in_Berlin-Berlin.html,"Professional, cinematic, and fashion Photography in Berlin",,,Photo Shoots,1 hour,"Anastasia is innovative, optimistic, and proactive, making her one of the most versatile photographers. Her enthusiasm to…",$133,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d16861199-Private_Tour_Historical_Highlights_Bike_E_Roller_and_E_Rickshaw-Berlin.html,"Private Tour Historical Highlights Bike, E-Roller and E-Rickshaw",,,Historical Tours,3 hours,"Berlin Excursion Mixed Bike Rickshaw and Roller Tour For private or with groups, this is the most informative and practical…",$266,per group,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26021441-Half_Day_Walking_Tour_in_Berlin-Berlin.html,Half Day Walking Tour in Berlin,,,Historical Tours,4 hours,"This tour united the past and present of Berlin. On your walk you will come across iconic sights and museums, contemporary…",$370,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d17564476-In_and_Around_Alexanderplatz_A_Self_Guided_Audio_Tour_of_Berlin-Berlin.html,In and Around Alexanderplatz: A Self-Guided Audio Tour of Berlin,,,Audio Guides,1 hour,"Alexanderplatz has a mythical status in Berlin history, from its seedy 1920s portrayal in Alfred Döblin's ""Berlin Alexanderplatz…",$6,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d25258398-Half_Day_Private_Berlin_Essentials_Walking_Tour-Berlin.html,Half-Day Private Berlin Essentials Walking Tour,,,Historical Tours,3–4 hours,"In this private tour, you will discover how Berlin went from a provincial capital to one of the world's first metropolises…",$332,per group,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d19530203-Berlin_Under_the_3rd_Reich_Private_Tour_by_Car_or_Foot-Berlin.html,Berlin Under the 3rd Reich Private Tour by Car or Foot,,,Historical Tours,3 hours,Berlin was the dark heart of Nazi Germany – the capital city of a dictatorship that was responsible for waging a war that…,$158,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d19278055-8_Hours_Mercedes_Benz_V_Class_at_Disposal_in_Berlin-Berlin.html,8 Hours Mercedes-Benz V-Class at Disposal in Berlin,,,Transportation Services,6+ hours,"Our Van service in Berlin is a stylish and comfortable way to get around the city. Attending meetings, travelling to trade…","$1,317",per group,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d23997322-Berlin_Instagram_Worthy_Spots_Tour_with_Photographer-Berlin.html,Berlin Instagram-Worthy Spots Tour with Photographer,,,Architecture Tours,2–6 hours,"Berlin offers many picturesque places, so take some beautiful shots and explore the hidden gems!

Choose one of our excellent…",$439,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187364-d16796508-Private_Shore_Excursion_Cold_War_and_East_Berlin_from_Warnemunde-Warnemunde_Rostoc.html,Private Shore Excursion: Cold War and East Berlin from Warnemünde,,,Historical Tours,6+ hours,"The Berlin Wall, Kruschev & Kennedy, the Airlift, spies, escapes and “the end of history” – it’s fair to say that Berlin…",$774,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d19585513-Private_Sightseeing_in_Berlin_By_Night-Berlin.html,Private Sightseeing in Berlin By Night,,,Historical Tours,3 hours,No trip is complete if you don’t experience a city’s nightlife. Grab the opportunity and enjoy a night out with your professional…,$135,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d19585514-Private_Half_Day_Trip_from_Berlin_to_Potsdam-Berlin.html,Private Half-Day Trip from Berlin to Potsdam,,,Historical Tours,6 hours,"Grab the opportunity and make the most out of your stay in Berlin in a fully customizable tour! At the desired time, an …",$269,per adult,berlin
